CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
12105;Sierra Engarcerán; 91; 9210,53; 20; 2024,29; 2; 202,43
46229;Siete Aguas; 154; 13287,32; 19; 1639,34; 0; 0,0
46230;Silla; 4214; 22088,27; 425; 2227,7; 26; 136,28
46231;Simat de la Valldigna; 486; 14740,67; 71; 2153,47; 3; 90,99
46232;Sinarcas; 172; 15565,61; 6; 542,99; 1; 90,5
46233;Sollana; 920; 18848,6; 158; 3237,04; 6; 122,93
12106;Soneja; 358; 24587,91; 50; 3434,07; 2; 137,36
46234;Sot de Chera; 64; 17679,56; 8; 2209,94; 0; 0,0
12107;Sot de Ferrer; 60; 14669,93; 4; 978,0; 2; 489,0
46235;Sueca; 5959; 21617,21; 671; 2434,16; 45; 163,24
12108;Sueras/Suera; 120; 22900,76; 10; 1908,4; 2; 381,68
46236;Sumacàrcer; 120; 10938,92; 10; 911,58; 0; 0,0
12109;Tales; 140; 17478,15; 13; 1622,97; 0; 0,0
46237;Tavernes Blanques; 2367; 25661,32; 218; 2363,4; 15; 162,62
46238;Tavernes de la Valldigna; 4931; 28578,88; 483; 2799,35; 53; 307,18
12110;Teresa; 26; 10526,32; 2; 809,72; 1; 404,86
46239;Teresa de Cofrentes; 80; 12924,07; 12; 1938,61; 4; 646,2
46240;Terrateig; 9; 3515,62; 3; 1171,88; 0; 0,0
3128;Teulada; 2956; 26210,32; 208; 1844,3; 23; 203,94
3129;Tibi; 208; 12515,04; 15; 902,53; 2; 120,34
46241;Titaguas; 214; 47136,56; 12; 2643,17; 0; 0,0
12112;Todolella; 22; 15602,84; 8; 5673,76; 0; 0,0
12113;Toga; 15; 15625,0; 2; 2083,33; 0; 0,0
3130;Tollos; 2; 5714,29; 0; 0,0; 0; 0,0
3131;Tormos; 17; 5345,91; 2; 628,93; 0; 0,0
12115;Toro (El); 22; 9128,63; 3; 1244,81; 0; 0,0
12116;Torralba del Pinar; 0; 0,0; 0; 0,0; 0; 0,0
12119;Torre d'En Besora (la); 19; 11377,25; 0; 0,0; 1; 598,8
12120;Torre d'en Doménec (la); 3; 1851,85; 0; 0,0; 0; 0,0
46242;Torrebaja; 73; 18159,2; 3; 746,27; 0; 0,0
12117;Torreblanca; 1195; 21438,82; 103; 1847,87; 7; 125,58
12118;Torrechiva; 7; 7865,17; 0; 0,0; 0; 0,0
46243;Torrella; 3; 2068,97; 0; 0,0; 0; 0,0
3132;Torremanzanas/Torre de les Maçanes (la); 41; 6446,54; 1; 157,23; 0; 0,0
46244;Torrent; 20399; 24295,51; 1986; 2365,36; 176; 209,62
46245;Torres Torres; 91; 13602,39; 7; 1046,34; 1; 149,48
