CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46257;Castelló; 2137; 30294,87; 202; 2863,62; 8; 113,41
46090;Castelló de Rugat; 812; 35335,07; 48; 2088,77; 0; 0,0
12040;Castellón de la Plana/Castelló de la Plana; 43858; 25167,56; 4863; 2790,59; 286; 164,12
46092;Castielfabib; 18; 5844,16; 1; 324,68; 0; 0,0
12041;Castillo de Villamalefa; 23; 22772,28; 6; 5940,59; 0; 0,0
46093;Catadau; 606; 21611,98; 66; 2353,78; 5; 178,32
46094;Catarroja; 7040; 24608,5; 800; 2796,42; 40; 139,82
3055;Catral; 1253; 14081,82; 77; 865,36; 9; 101,15
12042;Catí; 93; 13025,21; 14; 1960,78; 2; 280,11
46095;Caudete de las Fuentes; 192; 27004,22; 12; 1687,76; 3; 421,94
12043;Caudiel; 59; 8952,96; 4; 606,98; 4; 606,98
3052;Cañada; 292; 24172,19; 27; 2235,1; 2; 165,56
46096;Cerdà; 13; 3927,49; 0; 0,0; 0; 0,0
12044;Cervera del Maestre; 66; 11849,19; 10; 1795,33; 0; 0,0
46107;Chella; 766; 30987,06; 24; 970,87; 6; 242,72
46106;Chelva; 566; 36969,3; 86; 5617,24; 2; 130,63
46108;Chera; 99; 21108,74; 4; 852,88; 0; 0,0
12052;Chert/Xert; 91; 13226,74; 10; 1453,49; 2; 290,7
46109;Cheste; 2460; 28162,56; 202; 2312,54; 21; 240,41
12053;Chilches/Xilxes; 436; 16064,85; 60; 2210,76; 1; 36,85
46111;Chiva; 3290; 21344,23; 255; 1654,34; 28; 181,65
12055;Chodos/Xodos; 1; 943,4; 0; 0,0; 0; 0,0
46112;Chulilla; 98; 14803,63; 18; 2719,03; 1; 151,06
12056;Chóvar; 36; 12500,0; 4; 1388,89; 0; 0,0
12045;Cinctorres; 118; 29500,0; 7; 1750,0; 2; 500,0
12046;Cirat; 18; 8737,86; 0; 0,0; 0; 0,0
3056;Cocentaina; 2693; 23376,74; 351; 3046,88; 36; 312,5
46097;Cofrentes; 257; 22885,13; 18; 1602,85; 3; 267,14
3057;Confrides; 0; 0,0; 0; 0,0; 0; 0,0
46098;Corbera; 482; 15608,81; 48; 1554,4; 5; 161,92
12048;Cortes de Arenoso; 22; 7333,33; 5; 1666,67; 0; 0,0
46099;Cortes de Pallás; 113; 14656,29; 7; 907,91; 1; 129,7
12049;Costur; 36; 6949,81; 4; 772,2; 1; 193,05
46100;Cotes; 51; 15315,32; 1; 300,3; 0; 0,0
12050;Coves de Vinromà (les); 364; 20155,04; 44; 2436,32; 1; 55,37
3058;Cox; 1226; 16598,97; 82; 1110,21; 14; 189,55
3059;Crevillent; 5706; 19318,8; 548; 1855,36; 39; 132,04
12051;Culla; 37; 7692,31; 6; 1247,4; 0; 0,0
46105;Cullera; 4729; 20998,18; 469; 2082,5; 39; 173,17
12034;Càlig; 285; 14533,4; 50; 2549,72; 1; 50,99
46084;Càrcer; 850; 46524,36; 54; 2955,67; 7; 383,14
46113;Daimús; 880; 27534,42; 86; 2690,86; 31; 969,96
3061;Daya Nueva; 359; 20715,52; 11; 634,74; 5; 288,52
3062;Daya Vieja; 51; 6976,74; 2; 273,6; 1; 136,8
3064;Dolores; 2580; 34258,4; 197; 2615,85; 15; 199,18
46114;Domeño; 81; 12035,66; 18; 2674,59; 1; 148,59
46115;Dos Aguas; 62; 18960,24; 4; 1223,24; 1; 305,81
3063;Dénia; 9853; 23006,51; 780; 1821,28; 46; 107,41
3065;Elche/Elx; 62024; 26419,61; 5297; 2256,3; 323; 137,58
3066;Elda; 14697; 27828,38; 1098; 2079,03; 129; 244,26
46116;Eliana (l'); 5923; 32256,83; 604; 3289,4; 40; 217,84
46117;Emperador; 77; 11191,86; 8; 1162,79; 0; 0,0
46118;Enguera; 1155; 24178,35; 61; 1276,95; 5; 104,67
12057;Eslida; 90; 12413,79; 11; 1517,24; 0; 0,0
12058;Espadilla; 8; 11594,2; 0; 0,0; 0; 0,0
46120;Estivella; 684; 47467,04; 94; 6523,25; 6; 416,38
46121;Estubeny; 8; 6400,0; 0; 0,0; 0; 0,0
3067;Facheca; 8; 7476,64; 2; 1869,16; 0; 0,0
3068;Famorca; 2; 4444,44; 0; 0,0; 0; 0,0
12059;Fanzara; 35; 12820,51; 4; 1465,2; 0; 0,0
46122;Faura; 1015; 28567,41; 133; 3743,32; 3; 84,44
46123;Favara; 470; 18769,97; 32; 1277,96; 6; 239,62
12060;Figueroles; 49; 9369,02; 11; 2103,25; 0; 0,0
3069;Finestrat; 1019; 14346,05; 103; 1450,09; 5; 70,39
46126;Foios; 2224; 29844,34; 219; 2938,81; 7; 93,93
3077;Fondó de les Neus (el)/Hondón de las Nieves; 265; 10168,84; 51; 1957,02; 1; 38,37
46127;Font d'En Carròs (la); 799; 21148,76; 114; 3017,47; 4; 105,88
46128;Font de la Figuera (la); 574; 28317,71; 41; 2022,69; 1; 49,33
46124;Fontanars dels Alforins; 251; 26173,1; 25; 2606,88; 2; 208,55
12061;Forcall; 235; 51535,09; 18; 3947,37; 3; 657,89
3070;Formentera del Segura; 665; 15581,07; 44; 1030,93; 10; 234,3
46125;Fortaleny; 155; 15196,08; 20; 1960,78; 3; 294,12
12063;Fuente la Reina; 3; 5882,35; 0; 0,0; 0; 0,0
46129;Fuenterrobles; 168; 24207,49; 7; 1008,65; 1; 144,09
12064;Fuentes de Ayódar; 1; 1123,6; 0; 0,0; 0; 0,0
3072;Gaianes; 64; 13361,17; 14; 2922,76; 0; 0,0
12065;Gaibiel; 30; 16574,59; 3; 1657,46; 0; 0,0
46131;Gandia; 18375; 24242,06; 1431; 1887,91; 79; 104,22
3071;Gata de Gorgos; 1339; 21448,02; 117; 1874,1; 3; 48,05
46130;Gavarda; 138; 13243,76; 6; 575,82; 1; 95,97
12067;Geldo; 88; 13902,05; 19; 3001,58; 1; 157,98
46132;Genovés; 749; 26961,84; 55; 1979,84; 1; 36,0
46133;Gestalgar; 87; 15875,91; 6; 1094,89; 0; 0,0
46134;Gilet; 437; 12837,84; 45; 1321,97; 2; 58,75
46135;Godella; 4295; 32708,86; 445; 3388,93; 17; 129,46
46136;Godelleta; 323; 9012,28; 22; 613,84; 2; 55,8
3073;Gorga; 40; 16597,51; 2; 829,88; 0; 0,0
46137;Granja de la Costera (la); 28; 9491,53; 0; 0,0; 0; 0,0
3074;Granja de Rocamora; 461; 17792,36; 20; 771,9; 3; 115,79
46138;Guadasequies; 67; 14692,98; 4; 877,19; 0; 0,0
46139;Guadassuar; 1436; 24330,74; 196; 3320,91; 15; 254,15
46140;Guardamar de la Safor; 21; 3954,8; 3; 564,97; 2; 376,65
3076;Guardamar del Segura; 2776; 17515,3; 303; 1911,79; 35; 220,83
46902;Gátova; 53; 13086,42; 7; 1728,4; 1; 246,91
12068;Herbés; 1; 2272,73; 0; 0,0; 0; 0,0
12069;Higueras; 2; 4166,67; 0; 0,0; 0; 0,0
46141;Higueruelas; 64; 12774,45; 14; 2794,41; 0; 0,0
3078;Hondón de los Frailes; 175; 14090,18; 9; 724,64; 0; 0,0
3079;Ibi; 6615; 28072,48; 346; 1468,34; 62; 263,11
3080;Jacarilla; 365; 18268,27; 31; 1551,55; 1; 50,05
46142;Jalance; 171; 20503,6; 5; 599,52; 14; 1678,66
12070;Jana (la); 82; 12130,18; 9; 1331,36; 0; 0,0
46144;Jarafuel; 130; 16905,07; 7; 910,27; 5; 650,2
3083;Jijona/Xixona; 1527; 22197,99; 88; 1279,26; 17; 247,13
3082;Jávea/Xàbia; 6350; 22665,62; 563; 2009,57; 18; 64,25
12071;Jérica; 253; 16228,35; 13; 833,87; 3; 192,43
46154;Llanera de Ranes; 275; 26265,52; 24; 2292,26; 1; 95,51
46155;Llaurí; 164; 14513,27; 16; 1415,93; 0; 0,0
46151;Llocnou d'En Fenollet; 205; 22379,91; 14; 1528,38; 1; 109,17
46152;Llocnou de la Corona; 1; 806,45; 0; 0,0; 0; 0,0
46153;Llocnou de Sant Jeroni; 96; 17328,52; 7; 1263,54; 0; 0,0
46156;Llombai; 258; 9724,84; 27; 1017,72; 2; 75,39
12074;Llosa (la); 172; 17515,27; 14; 1425,66; 6; 611,0
46157;Llosa de Ranes (la); 1000; 27457,44; 83; 2278,97; 3; 82,37
46150;Llutxent; 869; 37360,28; 64; 2751,5; 3; 128,98
3085;Llíber; 39; 4698,8; 3; 361,45; 0; 0,0
46147;Llíria; 5297; 22557,7; 526; 2240,01; 49; 208,67
3084;Lorcha/Orxa (l'); 64; 10996,56; 7; 1202,75; 1; 171,82
46148;Loriguilla; 317; 15577,4; 39; 1916,46; 3; 147,42
46149;Losa del Obispo; 68; 13465,35; 13; 2574,26; 0; 0,0
12072;Lucena del Cid; 308; 23422,05; 28; 2129,28; 1; 76,05
12073;Ludiente; 9; 6040,27; 1; 671,14; 0; 0,0
46158;Macastre; 107; 8230,77; 21; 1615,38; 1; 76,92
46159;Manises; 7706; 24667,09; 440; 1408,45; 62; 198,46
46160;Manuel; 482; 19786,54; 16; 656,81; 1; 41,05
46161;Marines; 243; 13149,35; 42; 2272,73; 0; 0,0
46162;Masalavés; 201; 12484,47; 31; 1925,47; 0; 0,0
46163;Massalfassar; 561; 21956,95; 78; 3052,84; 1; 39,14
46164;Massamagrell; 3893; 24085,88; 374; 2313,93; 32; 197,98
46165;Massanassa; 2523; 25792,27; 313; 3199,75; 36; 368,02
12075;Mata de Morella (la); 60; 37500,0; 8; 5000,0; 0; 0,0
12076;Matet; 13; 15662,65; 1; 1204,82; 0; 0,0
46166;Meliana; 2866; 26125,8; 331; 3017,32; 10; 91,16
46167;Millares; 24; 7250,76; 2; 604,23; 1; 302,11
3086;Millena; 14; 5833,33; 2; 833,33; 1; 416,67
46168;Miramar; 688; 25623,84; 103; 3836,13; 3; 111,73
46169;Mislata; 10053; 22682,76; 668; 1507,22; 66; 148,92
46170;Mogente/Moixent; 1383; 32110,52; 63; 1462,74; 3; 69,65
46171;Moncada; 5408; 24558,38; 492; 2234,23; 25; 113,53
12077;Moncofa; 1219; 18175,04; 122; 1819,0; 9; 134,19
3088;Monforte del Cid; 2047; 24526,72; 171; 2048,89; 10; 119,82
12079;Montanejos; 183; 32446,81; 20; 3546,1; 0; 0,0
46173;Montaverner; 381; 23302,75; 54; 3302,75; 0; 0,0
46174;Montesa; 342; 29610,39; 24; 2077,92; 2; 173,16
3903;Montesinos (Los); 367; 7251,53; 23; 454,46; 3; 59,28
46175;Montitxelvo/Montichelvo; 56; 9572,65; 5; 854,7; 0; 0,0
46176;Montroy; 544; 18403,25; 44; 1488,5; 3; 101,49
46172;Montserrat; 2253; 27515,88; 188; 2296,04; 5; 61,06
12078;Montán; 101; 27445,65; 4; 1086,96; 5; 1358,7
3089;Monóvar/Monòver; 3278; 26842,45; 281; 2301,02; 30; 245,66
12080;Morella; 768; 31788,08; 58; 2400,66; 23; 951,99
3091;Murla; 37; 7297,83; 5; 986,19; 1; 197,24
3092;Muro de Alcoy; 2540; 27267,85; 347; 3725,17; 16; 171,77
46177;Museros; 1755; 26607,03; 175; 2653,12; 6; 90,96
3090;Mutxamel; 5606; 21860,01; 469; 1828,82; 53; 206,67
12081;Navajas; 77; 10694,44; 10; 1388,89; 0; 0,0
46179;Navarrés; 916; 30492,68; 47; 1564,58; 10; 332,89
3093;Novelda; 6765; 26281,03; 644; 2501,85; 54; 209,78
46180;Novelé/Novetlè; 159; 18553,09; 16; 1866,98; 2; 233,37
3094;Nucia (la); 4011; 22083,36; 339; 1866,43; 21; 115,62
12082;Nules; 4229; 31950,74; 349; 2636,75; 21; 158,66
46178;Náquera; 987; 14310,57; 162; 2348,85; 1; 14,5
46181;Oliva; 6555; 25987,16; 500; 1982,24; 59; 233,9
46183;Olleria (l'); 2505; 30108,17; 184; 2211,54; 12; 144,23
46182;Olocau; 168; 9190,37; 21; 1148,8; 1; 54,7
12083;Olocau del Rey; 37; 30833,33; 0; 0,0; 0; 0,0
12084;Onda; 7863; 31477,18; 601; 2405,92; 53; 212,17
3095;Ondara; 1988; 28094,97; 212; 2996,04; 8; 113,06
3096;Onil; 2070; 27236,84; 128; 1684,21; 35; 460,53
46184;Ontinyent; 9443; 26405,86; 872; 2438,41; 50; 139,82
3097;Orba; 945; 42338,71; 78; 3494,62; 7; 313,62
3099;Orihuela; 16016; 20401,25; 1483; 1889,05; 113; 143,94
12085;Oropesa del Mar/Orpesa; 2417; 25880,72; 171; 1831,03; 10; 107,08
3098;Orxeta; 110; 14030,61; 20; 2551,02; 0; 0,0
46185;Otos; 57; 13507,11; 6; 1421,8; 1; 236,97
46186;Paiporta; 7115; 26834,88; 732; 2760,81; 30; 113,15
12087;Palanques; 1; 2941,18; 0; 0,0; 0; 0,0
46187;Palma de Gandía; 256; 14979,52; 42; 2457,58; 4; 234,06
46188;Palmera; 214; 21021,61; 25; 2455,8; 0; 0,0
46189;Palomar (el); 75; 13227,51; 11; 1940,04; 0; 0,0
3100;Parcent; 63; 6514,99; 3; 310,24; 0; 0,0
46190;Paterna; 16212; 22822,55; 1837; 2586,05; 73; 102,77
12088;Pavías; 4; 5882,35; 0; 0,0; 0; 0,0
46191;Pedralba; 540; 19189,77; 75; 2665,25; 4; 142,15
3101;Pedreguer; 1723; 21862,71; 181; 2296,66; 13; 164,95
3102;Pego; 2215; 21859,27; 199; 1963,88; 11; 108,56
3103;Penàguila; 73; 27137,55; 2; 743,49; 1; 371,75
